process_execution_id,order_id,start_time,end_time,part_id,process_type,process_id,resource_id,is_valid
319,314,2025-02-20 12:22:44,2025-02-20 12:23:22,2,0,6,1,1
320,314,2025-02-20 12:23:22,2025-02-20 12:23:24,3,1,7,2,1
321,315,2025-02-20 12:23:23,2025-02-20 12:24:01,2,0,6,1,1
322,314,2025-02-20 12:23:24,2025-02-20 12:23:56,1,0,8,3,1
323,314,2025-02-20 12:23:56,2025-02-20 12:24:57,3,0,9,3,1
324,315,2025-02-20 12:24:01,2025-02-20 12:24:20,0,0,23,0,1
325,315,2025-02-20 12:24:20,2025-02-20 12:24:50,1,0,14,5,1
326,315,2025-02-20 12:24:58,2025-02-20 12:25:18,4,0,10,3,1
327,314,2025-02-20 12:25:18,2025-02-20 12:25:38,4,0,10,3,1
328,315,2025-02-20 12:25:18,2025-02-20 12:25:23,4,1,20,6,1
329,315,2025-02-20 12:25:23,2025-02-20 12:26:03,1,0,1,1,1
330,314,2025-02-20 12:25:38,2025-02-20 12:26:21,5,0,11,3,1
331,314,2025-02-20 12:26:21,2025-02-20 12:27:06,3,1,12,4,1
332,315,2025-02-20 12:26:21,2025-02-20 12:26:53,1,0,8,3,1
333,315,2025-02-20 12:26:53,2025-02-20 12:27:31,2,0,6,1,1
334,314,2025-02-20 12:27:06,2025-02-20 12:27:15,4,1,13,4,1
335,314,2025-02-20 12:27:15,2025-02-20 12:27:45,1,0,14,5,1
336,315,2025-02-20 12:27:31,2025-02-20 12:28:11,1,0,1,1,1
337,314,2025-02-20 12:27:45,2025-02-20 12:29:06,1,0,15,5,1
338,315,2025-02-20 12:29:06,2025-02-20 12:30:27,1,0,15,5,1
339,314,2025-02-20 12:30:27,2025-02-20 12:30:44,6,0,16,5,1
340,315,2025-02-20 12:30:27,2025-02-20 12:31:10,5,0,11,3,1
341,314,2025-02-20 12:30:44,2025-02-20 12:31:09,7,1,17,6,1
342,314,2025-02-20 12:31:09,2025-02-20 12:31:43,8,1,18,6,1
343,315,2025-02-20 12:31:10,2025-02-20 12:32:06,2,0,2,1,1
344,314,2025-02-20 12:31:43,2025-02-20 12:32:45,3,1,19,6,1
